"ZIP_Code","Clipped_ZIP_Population","ZIP_Case_Count","ZIP_Death_Count","ZIP_Case_Rate","ZIP_Death_Rate","date_updated"
"48201",12892,3603,"69",27948,"535.215637604716",2025-03-04
"48202",16617,3882,"82",23362,"493.470542215803",2025-03-04
"48203",17638,2416,"66",13698,"374.192085270439",2025-03-04
"48204",28471,6104,"137",21439,"481.191387727863",2025-03-04
"48205",43552,9238,"191",21211,"438.556208670096",2025-03-04
"48206",22584,4446,"88",19687,"389.656393907191",2025-03-04
"48207",19428,5244,"215",26992,"1106.65019559399",2025-03-04
"48208",9557,2582,"55",27017,"575.494402008999",2025-03-04
"48209",31859,7501,"79",23544,"247.967607269531",2025-03-04
"48210",31348,7668,"93",24461,"296.669643996427",2025-03-04
"48211",6037,1699,"38",28143,"629.451714427696",2025-03-04
"48212",17629,3138,"54",17800,"306.31346077486",2025-03-04
"48213",27740,5319,"164",19174,"591.204037490988",2025-03-04
"48214",24018,4694,"189",19544,"786.909817636772",2025-03-04
"48215",12458,2665,"52",21392,"417.402472306951",2025-03-04
"48216",6170,1372,"21",22237,"340.356564019449",2025-03-04
"48217",8210,2002,"36",24385,"438.489646772229",2025-03-04
"48219",47217,12650,"298",26791,"631.128618929623",2025-03-04
"48221",38506,10780,"191",27996,"496.026593258194",2025-03-04
"48223",24794,6480,"98",26135,"395.256916996047",2025-03-04
"48224",45096,10810,"207",23971,"459.020755721128",2025-03-04
"48226",5209,1217,"Suppressed",23363,"Suppressed",2025-03-04
"48227",45289,11063,"247",24428,"545.386296893285",2025-03-04
"48228",51939,17877,"253",34419,"487.109878896398",2025-03-04
"48234",36204,8842,"205",24423,"566.23577505248",2025-03-04
"48235",44593,13058,"361",29283,"809.544098849595",2025-03-04
"48238",31351,6517,"138",20787,"440.177346815094",2025-03-04
